Month,hurs,pr,r20mm,rx5day,hd35,rx1day,tasmax,cdd
1973-09,87.34,327.77,3.9,98.21,0.02,38.13,28.94,1.15
1973-10,87.05,279.51,2.5,86.67,0.01,30.68,29.38,1.41
1973-11,88.34,257.5,1.69,79.78,0.0,26.29,28.47,1.31
1973-12,88.67,317.57,3.3,106.65,0.0,48.69,27.47,1.77
1974-01,84.64,170.57,1.11,92.7,0.0,36.89,27.59,7.01
1974-02,87.05,245.27,2.18,86.23,0.0,32.88,27.96,1.95
1974-03,82.6,138.84,1.08,60.94,0.15,25.01,29.14,5.46
1974-04,86.14,232.07,1.91,81.2,0.02,29.04,29.44,2.1
1974-05,86.25,250.59,2.16,80.72,0.02,26.81,29.59,3.03
1974-06,85.41,186.26,0.98,60.73,0.02,20.86,29.53,3.57
1974-07,85.64,207.95,1.21,69.07,0.02,25.12,29.21,2.78
1974-08,84.17,157.13,0.66,55.85,0.11,19.41,29.96,3.19
1974-09,86.99,341.02,4.19,95.55,0.01,39.02,29.11,0.76
1974-10,86.26,220.41,1.49,72.21,0.07,25.98,29.19,1.97
1974-11,87.13,242.49,1.56,75.3,0.02,28.18,28.88,1.64
1974-12,86.6,236.17,1.82,76.56,0.0,31.01,28.56,1.71
1975-01,86.11,218.23,1.82,77.14,0.0,29.52,28.53,3.61
1975-02,84.25,193.97,1.95,93.7,0.02,42.64,28.9,3.68
1975-03,85.4,209.34,1.84,77.64,0.07,30.62,29.27,2.8
1975-04,84.95,200.36,1.42,70.87,0.12,24.24,30.06,2.32
1975-05,86.57,252.18,1.56,69.58,0.06,25.43,29.63,1.21
1975-06,85.04,143.03,0.51,47.71,0.06,18.02,29.45,3.13
1975-07,85.38,208.4,1.37,71.75,0.07,29.65,29.09,2.26
1975-08,83.88,171.44,1.09,68.94,0.04,22.0,29.98,3.95
1975-09,87.24,313.23,3.43,96.64,0.05,36.58,28.88,1.01
1975-10,85.22,229.69,1.96,77.39,0.24,33.97,29.34,2.14
1975-11,88.31,303.51,2.6,101.48,0.0,39.5,28.25,1.01
1975-12,88.07,287.53,2.55,98.16,0.0,43.4,27.77,2.06
1976-01,84.95,237.98,2.49,97.08,0.03,41.46,27.54,6.91
1976-02,81.56,134.53,0.8,51.79,0.16,24.38,29.0,8.37
1976-03,82.42,156.68,0.85,50.36,0.31,20.0,29.8,3.43
1976-04,84.47,226.67,1.33,74.46,0.16,23.6,29.91,2.69
1976-05,84.97,178.39,0.84,67.81,0.1,22.43,30.04,5.71
1976-06,85.49,184.71,1.1,61.84,0.0,23.86,29.47,3.39
1976-07,84.12,163.48,0.84,56.53,0.03,21.42,29.72,5.88
1976-08,84.95,243.8,2.62,96.11,0.24,37.69,29.51,3.39
1976-09,84.24,175.03,1.2,67.75,0.11,25.44,29.74,3.81
1976-10,87.86,323.15,2.98,93.29,0.0,33.25,29.11,1.14
1976-11,89.0,324.27,3.1,96.53,0.0,41.1,28.49,0.51
1976-12,87.25,214.73,1.34,72.13,0.0,25.37,28.38,2.02
1977-01,85.39,180.07,1.13,74.67,0.04,32.59,28.46,5.93
1977-02,86.46,311.71,4.13,115.69,0.06,53.58,27.91,3.26
1977-03,82.96,179.76,1.27,60.34,0.55,25.14,29.33,4.44
1977-04,83.38,173.41,1.07,57.39,0.84,23.76,30.29,3.09
1977-05,84.58,197.46,1.1,67.94,0.22,23.18,30.39,2.61
1977-06,85.68,184.98,0.9,59.75,0.05,21.32,29.85,2.56
1977-07,85.62,202.87,1.35,69.1,0.09,24.32,29.52,2.93
1977-08,85.18,201.18,1.39,65.09,0.06,26.46,29.44,2.98
1977-09,83.96,171.08,0.94,77.77,0.15,26.85,30.27,2.78
1977-10,88.19,349.96,3.52,98.18,0.04,37.35,29.06,0.5
1977-11,88.41,298.71,2.54,89.92,0.0,36.4,28.83,0.71
1977-12,86.65,237.39,2.06,77.89,0.02,32.43,28.86,2.04
1978-01,85.07,210.71,1.85,81.17,0.08,40.23,28.66,4.04
1978-02,82.82,144.29,0.96,59.85,0.6,24.09,29.4,4.86
1978-03,83.84,228.27,2.44,74.52,0.67,33.19,30.29,3.09
1978-04,84.47,191.67,1.04,61.71,0.24,23.65,30.41,2.43
1978-05,86.65,249.66,2.84,96.02,0.07,32.73,30.22,2.61
1978-06,84.44,175.98,0.94,55.56,0.22,21.42,30.21,2.93
1978-07,85.31,195.69,0.98,64.2,0.08,23.59,29.64,1.95
1978-08,83.61,139.0,0.3,41.33,0.18,16.04,30.18,3.0
1978-09,85.15,223.34,1.8,74.13,0.13,28.57,29.7,2.38
1978-10,86.03,262.28,2.02,86.0,0.14,32.14,29.62,2.3
1978-11,88.09,275.99,2.34,86.37,0.0,32.13,28.71,1.79
1978-12,86.83,264.44,2.29,100.84,0.0,44.42,28.71,2.57
1979-01,83.32,122.62,0.6,54.46,0.33,20.75,29.06,6.96
1979-02,83.22,175.45,1.57,76.32,0.39,33.66,29.92,4.38
1979-03,83.28,194.94,1.51,71.72,0.97,30.92,30.22,3.7
1979-04,85.85,235.06,1.59,75.46,0.13,29.17,30.59,2.1
1979-05,84.19,158.44,0.68,57.34,0.33,19.49,30.74,5.9
1979-06,86.62,238.26,2.04,85.69,0.06,33.47,30.01,2.78
1979-07,85.38,186.2,1.25,65.69,0.03,25.07,29.79,3.74
1979-08,82.52,157.78,1.15,69.94,0.28,24.5,30.64,5.61
1979-09,87.16,304.76,3.04,89.85,0.04,29.55,29.75,1.16
1979-10,87.01,293.32,2.67,91.65,0.15,31.68,29.79,2.82
1979-11,90.02,409.89,5.08,126.83,0.0,45.38,28.83,0.43
1979-12,86.03,213.64,1.53,70.04,0.0,28.22,28.87,3.82
1980-01,85.25,211.65,1.88,67.06,0.19,29.56,28.87,4.19
1980-02,83.19,157.02,1.05,61.0,0.37,22.81,29.6,4.69
1980-03,83.99,187.09,1.35,64.26,0.09,24.79,30.23,2.85
1980-04,86.48,259.62,2.19,82.68,0.09,33.71,30.27,1.18
1980-05,86.67,218.43,1.61,66.53,0.04,23.97,30.45,1.65
1980-06,86.39,193.93,1.13,66.56,0.06,22.15,29.9,2.56
1980-07,84.64,174.36,1.14,64.79,0.11,24.95,30.18,3.61
1980-08,86.26,222.8,1.54,69.75,0.02,26.1,29.35,2.33
1980-09,84.73,194.65,1.17,66.97,0.15,24.8,30.24,2.16
1980-10,87.56,291.96,2.58,87.89,0.03,31.69,29.58,0.86
1980-11,88.55,286.5,2.0,82.47,0.0,26.36,29.07,0.6
1980-12,88.46,304.73,3.11,98.13,0.0,40.98,28.24,1.66
1981-01,85.01,223.72,2.64,103.95,0.02,40.09,27.98,6.88
