Month,pr,r20mm,r50mm,tasmin,tas,tasmax,hurs,rx5day
1974-07,296.95,4.94,0.81,18.79,21.03,23.86,85.75,118.61
1974-08,202.88,2.51,0.64,20.52,23.35,26.72,82.02,110.2
1974-09,232.56,3.49,0.87,16.0,19.02,22.48,79.97,101.61
1974-10,162.06,2.31,0.21,10.54,13.66,17.2,76.65,67.77
1974-11,88.25,1.0,0.06,3.56,6.68,10.32,72.1,50.21
1974-12,105.92,0.6,0.08,-1.31,1.36,4.34,73.61,35.61
1975-01,111.93,0.99,0.07,-3.32,-0.45,2.71,72.09,46.41
1975-02,106.93,0.68,0.01,-3.75,-0.56,2.69,71.71,44.06
1975-03,127.08,1.69,0.18,-0.09,3.28,6.86,69.75,58.9
1975-04,150.55,2.31,0.24,6.84,9.85,13.28,74.8,63.82
1975-05,143.72,1.45,0.1,10.98,14.06,17.63,76.05,57.91
1975-06,245.61,3.83,0.7,15.64,18.22,21.33,83.13,97.68
1975-07,237.87,3.32,0.72,19.82,22.38,25.51,83.05,107.96
1975-08,237.25,2.93,1.16,20.6,23.6,27.07,80.27,126.93
1975-09,179.91,2.47,0.35,17.89,21.03,24.7,79.23,87.6
1975-10,214.5,3.61,0.39,11.09,14.02,17.39,77.78,81.26
1975-11,164.06,2.62,0.41,5.55,8.62,12.21,74.98,68.85
1975-12,89.12,0.63,0.02,-1.08,1.78,5.06,73.44,46.52
1976-01,77.72,0.13,0.0,-3.59,-0.51,2.83,70.21,30.55
1976-02,152.86,2.01,0.28,-1.1,2.02,5.28,73.45,60.5
1976-03,114.93,1.14,0.11,0.51,3.8,7.34,70.03,52.81
1976-04,160.13,2.28,0.17,5.72,9.09,12.84,72.69,62.0
1976-05,151.87,2.15,0.09,11.02,14.34,18.13,73.71,76.48
1976-06,269.63,4.84,1.03,15.32,17.85,20.87,82.09,121.6
1976-07,195.93,2.39,0.53,18.54,21.27,24.55,81.07,87.67
1976-08,247.91,3.72,0.56,19.12,21.8,25.03,82.52,92.39
1976-09,268.66,4.24,1.09,15.11,18.05,21.49,80.52,153.01
1976-10,177.43,2.96,0.28,10.01,13.28,17.02,75.6,62.08
1976-11,110.55,1.18,0.02,3.28,6.37,9.87,72.8,52.94
1976-12,104.24,0.7,0.0,-1.29,1.77,5.11,73.27,39.48
1977-01,71.85,0.14,0.0,-5.58,-2.65,0.55,71.31,24.47
1977-02,73.76,0.29,0.0,-4.76,-1.42,2.2,69.51,28.28
1977-03,163.71,2.23,0.27,0.95,4.26,7.95,72.03,63.13
1977-04,160.81,2.7,0.18,6.06,9.43,13.31,72.19,67.74
1977-05,162.13,2.42,0.29,10.58,13.82,17.58,74.94,75.83
1977-06,224.79,3.78,0.54,15.46,17.93,20.87,82.3,83.69
1977-07,163.16,1.7,0.16,20.11,22.72,25.92,82.89,70.06
1977-08,249.86,3.95,0.9,19.77,22.28,25.25,82.0,117.7
1977-09,207.87,2.86,0.65,17.24,20.22,23.71,79.96,89.09
1977-10,56.84,0.64,0.02,10.91,14.7,19.07,74.5,46.05
1977-11,162.59,2.01,0.46,6.29,9.32,12.81,75.86,82.31
1977-12,107.82,0.92,0.01,0.67,3.79,7.28,73.91,56.9
1978-01,102.28,0.39,0.02,-3.21,-0.17,3.01,72.54,37.99
1978-02,84.83,0.63,0.01,-4.91,-1.81,1.54,70.8,36.76
1978-03,107.5,1.11,0.04,-0.43,3.07,6.84,68.51,47.77
1978-04,128.3,1.42,0.1,5.42,8.79,12.59,71.66,53.27
1978-05,125.07,1.65,0.18,10.95,14.38,18.23,74.35,57.79
1978-06,265.37,4.28,0.96,16.77,19.51,22.83,80.41,128.2
1978-07,96.98,0.76,0.06,21.56,24.38,27.82,79.7,57.95
1978-08,152.47,1.68,0.19,21.31,24.32,27.92,78.87,71.54
1978-09,189.94,2.64,0.38,16.62,19.58,22.95,78.64,73.62
1978-10,138.79,2.07,0.22,9.79,13.24,17.09,75.03,65.95
1978-11,96.35,1.13,0.08,4.43,7.82,11.57,74.47,48.03
1978-12,80.68,0.22,0.0,0.11,3.48,7.3,73.06,27.64
1979-01,113.6,1.18,0.13,-3.34,0.64,4.56,72.69,58.88
1979-02,115.42,1.46,0.06,-1.57,2.22,5.91,73.31,52.68
1979-03,124.17,1.53,0.13,-0.62,3.58,7.42,69.57,61.98
1979-04,151.52,2.28,0.16,4.58,8.43,12.36,71.44,63.36
1979-05,127.38,1.71,0.27,9.27,13.3,17.48,72.97,57.38
1979-06,264.72,3.22,1.09,16.68,19.54,22.86,81.92,167.12
1979-07,221.22,2.78,0.65,18.42,21.26,24.5,82.81,125.14
1979-08,190.07,2.9,0.36,20.13,23.35,26.81,80.72,83.7
1979-09,256.34,3.58,0.95,16.63,19.73,23.09,80.19,121.95
1979-10,201.3,2.5,1.18,11.18,14.89,18.95,77.09,129.93
1979-11,176.37,2.73,0.33,4.81,8.4,11.96,76.31,59.67
1979-12,79.85,0.3,0.01,0.34,3.76,7.54,75.67,36.96
1980-01,118.05,0.78,0.01,-3.33,-0.13,3.12,73.3,47.16
1980-02,74.57,0.39,0.0,-4.59,-1.36,2.03,69.1,34.3
1980-03,132.88,1.92,0.04,-0.13,3.31,6.89,69.78,53.08
1980-04,150.18,1.96,0.1,4.7,8.22,12.07,71.24,61.43
1980-05,200.96,3.55,0.47,11.1,14.63,18.59,72.82,73.8
1980-06,187.03,2.85,0.37,16.63,19.38,22.54,79.57,86.07
1980-07,308.67,5.22,0.84,18.64,20.83,23.55,85.17,119.3
1980-08,277.37,4.32,0.69,18.87,21.05,23.73,84.68,105.68
1980-09,161.72,2.22,0.43,15.94,18.95,22.33,79.52,89.47
