Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1970-07,281.0,3.08,0.56,83.9,23.4,25.91,0.72,119.67
1970-08,268.86,2.46,0.15,84.8,23.34,25.69,0.09,89.5
1970-09,232.83,2.19,0.23,84.2,23.14,25.71,0.09,90.74
1970-10,352.22,4.31,0.97,85.84,23.19,25.47,0.03,152.97
1970-11,253.33,2.42,0.39,86.18,22.92,25.01,0.01,96.7
1970-12,171.8,1.61,0.28,85.14,22.47,24.75,0.0,78.64
1971-01,149.3,1.55,0.28,81.13,20.9,23.33,0.0,68.62
1971-02,166.75,1.76,0.35,83.43,21.64,23.92,0.05,82.75
1971-03,159.99,1.79,0.4,80.24,21.68,24.3,0.12,95.27
1971-04,100.38,0.79,0.15,78.04,22.45,25.53,0.41,59.82
1971-05,242.52,1.8,0.23,84.14,23.19,25.83,0.29,77.66
1971-06,308.81,3.27,0.4,85.29,23.1,25.58,0.19,106.57
1971-07,295.73,3.51,0.67,84.51,23.12,25.46,0.06,124.69
1971-08,176.12,1.23,0.07,83.16,22.83,25.69,0.11,67.94
1971-09,206.9,1.61,0.03,83.82,23.11,25.85,0.18,77.62
1971-10,353.77,4.19,1.38,85.71,22.86,25.14,0.0,175.96
1971-11,220.04,1.88,0.19,85.57,22.39,24.73,0.0,74.87
1971-12,178.44,1.41,0.37,85.16,22.26,24.55,0.02,76.91
1972-01,183.14,1.63,0.4,83.91,21.4,23.56,0.0,93.56
1972-02,84.77,0.57,0.01,82.25,21.39,23.94,0.01,42.46
1972-03,157.96,1.4,0.27,81.06,21.41,23.97,0.01,73.74
1972-04,91.13,0.33,0.01,80.69,22.68,25.61,0.33,39.84
1972-05,218.69,2.13,0.07,82.52,23.24,26.07,0.53,84.54
1972-06,235.81,2.6,0.39,83.76,23.42,26.11,0.48,103.85
1972-07,351.38,5.7,1.41,84.32,23.85,26.04,0.17,133.94
1972-08,310.01,3.94,0.57,84.76,23.01,25.42,0.02,121.68
1972-09,280.07,2.95,0.19,85.53,23.05,25.45,0.01,91.94
1972-10,120.01,0.34,0.0,82.89,22.8,25.66,0.04,45.27
1972-11,137.72,0.84,0.13,83.15,22.96,25.55,0.13,62.16
1972-12,132.29,1.15,0.33,83.58,22.26,24.6,0.06,78.38
1973-01,43.53,0.13,0.01,78.32,21.35,24.41,0.19,20.4
1973-02,46.9,0.19,0.01,76.72,21.7,24.83,0.41,24.97
1973-03,51.2,0.22,0.01,74.14,22.14,25.51,0.59,23.43
1973-04,79.74,0.55,0.01,75.85,23.55,26.72,1.65,29.8
1973-05,119.74,0.53,0.02,77.73,23.8,27.09,2.37,40.38
1973-06,241.44,2.2,0.1,82.23,23.89,26.76,1.16,80.33
1973-07,264.52,2.79,0.13,84.11,23.47,26.11,0.36,90.82
1973-08,300.29,3.22,0.17,84.75,23.29,25.89,0.2,96.9
1973-09,297.44,2.98,0.14,85.43,23.01,25.65,0.05,85.41
1973-10,297.09,2.96,0.95,85.39,23.15,25.63,0.01,145.4
1973-11,307.82,3.66,1.02,86.52,22.86,25.07,0.0,145.68
1973-12,239.16,2.25,0.35,85.5,21.9,24.09,0.0,91.88
1974-01,130.61,1.01,0.22,82.14,20.81,23.19,0.0,67.11
1974-02,203.13,2.3,0.56,83.12,21.5,23.91,0.07,97.67
1974-03,74.42,0.26,0.0,79.52,21.64,24.54,0.23,42.79
1974-04,133.11,0.8,0.01,80.14,22.96,26.0,0.95,53.05
1974-05,189.58,1.6,0.14,81.17,23.12,26.16,0.69,84.12
1974-06,268.48,2.81,0.83,83.86,23.18,25.89,0.29,139.81
1974-07,224.32,1.66,0.15,83.46,22.94,25.68,0.61,80.44
1974-08,322.59,4.81,0.84,84.29,23.41,25.81,0.1,140.25
1974-09,177.21,1.08,0.1,82.82,22.96,25.94,0.14,64.39
1974-10,405.05,4.73,1.25,86.23,23.17,25.35,0.03,142.06
1974-11,271.49,2.74,0.97,85.22,22.69,24.94,0.0,119.29
1974-12,255.7,3.02,0.63,85.79,22.31,24.5,0.01,105.15
1975-01,149.9,1.4,0.31,82.99,21.55,23.99,0.0,65.44
1975-02,98.52,0.79,0.1,81.02,21.37,24.23,0.06,52.78
1975-03,107.97,0.83,0.05,80.26,22.2,25.19,0.3,42.34
1975-04,173.82,1.72,0.4,80.82,23.06,25.94,0.84,97.0
1975-05,219.59,1.73,0.02,82.23,23.48,26.36,1.7,69.64
1975-06,324.6,3.76,0.25,84.88,23.16,25.78,0.48,106.79
1975-07,274.41,2.13,0.07,84.79,22.72,25.49,0.13,89.12
1975-08,250.91,2.91,0.3,84.62,23.45,25.84,0.11,105.9
1975-09,269.55,2.19,0.09,85.26,22.79,25.46,0.02,80.39
1975-10,298.47,3.19,0.43,85.56,23.0,25.54,0.03,107.31
1975-11,127.14,0.49,0.01,83.26,22.31,24.99,0.02,49.54
1975-12,308.6,3.71,0.83,85.92,22.1,24.12,0.01,143.24
1976-01,228.14,2.32,0.8,84.2,21.31,23.48,0.0,122.25
1976-02,89.39,0.38,0.05,81.3,20.99,23.8,0.05,39.25
1976-03,103.65,0.51,0.01,80.33,22.03,24.88,0.28,42.41
1976-04,69.42,0.17,0.0,77.7,22.72,25.92,0.78,25.39
1976-05,424.1,4.76,1.65,83.84,23.33,25.77,0.43,235.33
1976-06,335.54,3.89,0.9,84.84,22.92,25.44,0.05,142.17
1976-07,264.1,2.67,0.2,84.83,23.04,25.61,0.05,108.15
1976-08,296.37,3.35,0.26,85.32,22.8,25.3,0.0,102.58
1976-09,246.06,2.53,0.3,85.1,23.0,25.49,0.0,101.69
1976-10,189.73,0.95,0.06,84.82,22.98,25.7,0.01,59.25
1976-11,209.77,1.44,0.23,85.67,22.53,24.92,0.02,75.62
1976-12,235.57,2.41,0.56,85.57,22.14,24.37,0.01,122.59
1977-01,180.57,1.77,0.28,85.56,22.11,24.44,0.0,80.22
1977-02,171.96,1.99,0.28,83.65,21.61,23.9,0.01,81.44
1977-03,93.6,0.49,0.03,80.98,21.86,24.61,0.09,38.03
1977-04,57.24,0.21,0.03,77.44,23.03,26.26,1.07,23.62
1977-05,187.02,1.29,0.09,79.34,23.67,26.77,1.44,67.93
1977-06,282.24,3.17,0.24,83.54,23.54,26.27,0.57,103.85
1977-07,433.29,5.82,0.82,85.85,23.41,25.64,0.11,147.33
1977-08,316.27,3.83,0.24,84.85,23.51,25.88,0.1,125.34
1977-09,341.66,4.57,0.92,85.4,23.52,25.68,0.0,148.39
1977-10,162.53,1.2,0.07,83.6,22.94,25.66,0.0,64.79
1977-11,228.2,1.94,0.4,84.72,22.61,25.15,0.0,104.41
1977-12,83.23,0.41,0.06,82.3,21.71,24.53,0.01,41.41
1978-01,99.88,0.69,0.14,81.28,21.53,24.06,0.02,56.26
1978-02,93.77,0.75,0.03,80.18,21.49,24.12,0.03,44.76
1978-03,62.29,0.26,0.02,78.21,22.7,25.77,0.52,27.83
1978-04,125.71,0.92,0.24,77.69,23.42,26.5,1.3,64.31
1978-05,227.32,2.02,0.06,81.46,24.15,26.87,1.4,83.8
1978-06,289.56,3.11,0.34,84.49,23.53,26.12,0.2,99.81
1978-07,262.01,2.11,0.04,84.73,23.54,26.07,0.08,76.98
1978-08,446.8,6.92,1.15,86.03,23.78,25.8,0.03,143.42
1978-09,380.23,4.84,0.65,85.99,23.36,25.66,0.0,134.79
