Month,pr,r20mm,r50mm,hurs,tasmax,tas,hd35,rx5day
1968-12,320.72,3.55,0.12,88.56,28.11,23.96,0.0,94.93
1969-01,155.58,0.83,0.06,84.96,28.83,24.31,0.02,66.7
1969-02,133.58,0.63,0.12,82.5,29.43,24.6,0.24,51.47
1969-03,220.33,2.1,0.09,83.83,29.87,25.07,0.35,82.66
1969-04,220.74,1.57,0.12,85.01,30.1,25.45,0.22,69.21
1969-05,322.09,3.3,0.19,87.96,29.88,25.45,0.02,91.5
1969-06,232.07,1.62,0.21,87.21,29.5,25.16,0.0,84.88
1969-07,183.48,1.57,0.09,84.82,29.33,24.84,0.01,74.15
1969-08,291.89,3.01,0.18,86.59,29.05,24.43,0.01,93.75
1969-09,181.49,0.92,0.07,85.3,29.56,24.9,0.06,63.9
1969-10,297.42,2.44,0.15,87.09,29.38,24.56,0.01,84.88
1969-11,374.89,4.54,0.33,90.15,27.84,23.9,0.0,115.89
1969-12,303.84,2.56,0.28,88.81,27.87,23.95,0.0,100.15
1970-01,254.86,2.17,0.24,87.31,28.18,24.0,0.0,83.85
1970-02,126.38,1.2,0.14,82.83,29.12,24.57,0.3,69.9
1970-03,188.29,1.53,0.14,82.08,30.13,25.18,0.54,70.43
1970-04,271.76,2.26,0.09,87.04,29.77,25.14,0.21,78.46
1970-05,306.71,3.0,0.1,87.71,29.73,25.17,0.04,98.35
1970-06,233.84,2.04,0.21,86.74,29.5,25.14,0.01,90.11
1970-07,190.32,1.34,0.07,85.96,29.22,24.71,0.02,68.35
1970-08,218.9,1.59,0.06,85.98,29.39,24.73,0.03,71.23
1970-09,308.41,3.16,0.3,86.92,29.17,24.54,0.0,96.69
1970-10,300.84,3.08,0.18,87.62,29.03,24.58,0.01,95.01
1970-11,278.96,1.77,0.03,88.74,28.51,24.22,0.0,77.59
1970-12,310.37,3.21,0.62,88.17,28.18,24.03,0.0,130.81
1971-01,304.23,3.67,0.9,86.96,27.26,23.46,0.0,183.97
1971-02,272.59,2.92,0.31,86.44,27.88,23.58,0.04,98.62
1971-03,161.85,0.77,0.09,84.51,28.86,24.31,0.02,64.62
1971-04,122.77,0.48,0.0,82.21,30.05,25.12,0.43,50.08
1971-05,230.7,1.11,0.03,86.14,29.78,25.06,0.03,65.09
1971-06,159.85,0.58,0.01,85.18,29.55,24.86,0.02,54.0
1971-07,140.74,0.48,0.0,84.0,29.69,24.84,0.01,49.52
1971-08,316.48,3.49,0.26,87.17,28.7,24.12,0.0,96.63
1971-09,256.96,2.36,0.29,86.02,29.39,24.7,0.01,88.11
1971-10,252.71,2.1,0.1,86.1,29.07,24.53,0.03,81.61
1971-11,256.66,1.84,0.07,87.66,28.32,23.92,0.0,75.49
1971-12,320.97,2.69,0.17,89.18,27.62,23.62,0.0,95.67
1972-01,133.89,0.65,0.04,83.73,27.87,23.48,0.0,53.42
1972-02,181.34,1.35,0.09,84.83,28.79,24.2,0.02,71.02
1972-03,160.09,0.99,0.07,83.36,29.03,24.38,0.09,62.28
